costat,curcd,datafmt,indfmt,consol,sic,datadate,gvkey,cusip,fyr,fyear,csho,dt,prcc_f
I,USD,STD,INDL,C,7380,2020-12-31,001019,001038108,12,2020,0.1620,8.6680,174.000000000000
A,USD,STD,INDL,C,4512,2020-12-31,001045,02376R102,12,2020,621.4800,41021.0000,15.770000000000
A,USD,STD,INDL,C,3564,2020-12-31,001050,125141101,12,2020,35.3670,91.5400,6.960000000000
A,USD,STD,INDL,C,6141,2020-12-31,001076,74319R101,12,2020,67.7230,79.5160,53.870000000000
A,USD,STD,INDL,C,3845,2020-12-31,001078,002824100,12,2020,1771.2300,19677.0000,109.490000000000
A,USD,STD,INDL,C,7370,2020-12-31,001084,98159J200,12,2020,56.8150,0.0000,0.300000000000
A,CAD,STD,INDL,C,6510,2020-12-31,001096,617577101,12,2020,11.1090,5650.1030,115.450000000000
A,USD,STD,INDL,C,6351,2020-12-31,001097,004616207,12,2020,0.7720,1.0790,34.500000000000
A,USD,STD,INDL,C,3842,2020-12-31,001104,004816104,12,2020,3.3390,47.9800,30.130000000000
A,USD,STD,INDL,C,3663,2020-12-31,001117,05587G203,12,2020,12.5120,3.5560,3.030000000000
I,USD,STD,INDL,C,5172,2020-12-31,001121,006351308,12,2020,4.2440,23.6690,24.100000000000
A,USD,STD,INDL,C,3674,2020-12-31,001161,007903107,12,2020,1211.0000,572.0000,91.710000000000
A,USD,STD,INDL,C,3559,2020-12-31,001166,N07045102,12,2020,48.7150,23.2230,220.179000000000
A,USD,STD,INDL,C,1040,2020-12-31,001186,008474108,12,2020,242.8840,1685.5160,70.510000000000
A,USD,STD,INDL,C,4512,2020-12-31,001230,011659109,12,2020,124.2180,4690.0000,52.000000000000
A,USD,STD,INDL,C,4400,2020-12-31,001254,57686G105,12,2020,43.2000,1004.1000,56.970000000000
A,USD,STD,INDL,C,6798,2020-12-31,001257,014752109,12,2020,5.1070,1160.4060,277.350000000000
A,CAD,STD,INDL,C,4400,2020-12-31,001262,015644107,12,2020,37.8010,391.1550,13.920000000000
I,USD,STD,INDL,C,6331,2020-12-31,001274,017175100,12,2020,14.0410,2391.4460,603.690000000000
A,USD,STD,INDL,C,9997,2020-12-31,001300,438516106,12,2020,696.8000,19615.0000,212.700000000000
I,USD,STD,INDL,C,1311,2020-12-31,001380,42809H107,12,2020,306.9800,9075.0000,52.790000000000
A,USD,STD,INDL,C,2670,2020-12-31,001397,024591406,12,2020,0.0320,11.2980,256.000000000000
A,USD,STD,INDL,C,6311,2020-12-31,001414,74164M108,12,2020,39.3060,1773.8950,133.930000000000
I,USD,STD,INDL,C,4955,2020-12-31,001439,91734M103,12,2020,31.1540,859.9230,36.330000000000
A,USD,STD,INDL,C,6141,2020-12-31,001447,025816109,12,2020,805.0000,44056.0000,120.910000000000
A,USD,STD,INDL,C,6321,2020-12-31,001449,001055102,12,2020,692.4540,7899.0000,44.470000000000
A,USD,STD,INDL,C,6331,2020-12-31,001487,026874784,12,2020,861.5580,38578.0000,37.860000000000
I,USD,STD,INDL,C,6311,2020-12-31,001526,02772A109,12,2020,26.8870,153.7030,96.120000000000
A,USD,STD,INDL,C,6513,2020-12-31,001545,029174109,12,2020,16.1520,479.8260,10.900000000000
A,USD,STD,INDL,C,8090,2020-12-31,001559,029595105,12,2020,5.7910,14.4020,2.220000000000
A,USD,STD,INDL,C,2870,2020-12-31,001585,030371108,12,2020,30.8610,119.8070,15.520000000000
A,USD,STD,INDL,C,3823,2020-12-31,001598,031100100,12,2020,230.5190,2514.7010,120.940000000000
A,USD,STD,INDL,C,2836,2020-12-31,001602,031162100,12,2020,578.3000,33445.0000,229.920000000000
A,USD,STD,INDL,C,3312,2020-12-31,001613,032037103,12,2020,18.3120,41.5870,5.480000000000
A,USD,STD,INDL,C,3663,2020-12-31,001650,034393108,12,2020,68.1050,2.6030,0.036000000000
A,USD,STD,INDL,C,5150,2020-12-31,001659,034164103,12,2020,33.5540,1048.7670,24.510000000000
A,USD,STD,INDL,C,1381,2020-12-31,001661,G6359F137,12,2020,7.2930,3001.6620,58.230000000000
A,USD,STD,INDL,C,1311,2020-12-31,001678,03743Q108,12,2020,377.4820,9033.0000,14.190000000000
I,USD,STD,INDL,C,2911,2020-12-31,001712,894648104,12,2020,24.8330,62.7460,6.990000000000
A,USD,STD,INDL,C,2070,2020-12-31,001722,039483102,12,2020,556.0000,9011.0000,50.410000000000
A,USD,STD,INDL,C,4213,2020-12-31,001743,03937C105,12,2020,25.3880,403.5450,42.670000000000
A,USD,STD,INDL,C,5065,2020-12-31,001773,042735100,12,2020,74.8430,2560.1330,97.300000000000
A,CAD,STD,INDL,C,6799,2020-12-31,001790,043420108,12,2020,2.8370,24.6630,0.650000000000
A,USD,STD,INDL,C,3640,2020-12-31,001823,046433108,12,2020,30.8940,197.4500,13.230000000000
A,CAD,STD,INDL,C,4932,2020-12-31,001828,046789400,12,2020,114.3000,9719.0000,36.490000000000
A,USD,STD,INDL,C,2670,2020-12-31,001913,053611109,12,2020,83.1510,2218.0000,155.110000000000
A,USD,STD,INDL,C,6798,2020-12-31,001949,055645303,12,2020,16.4320,170.1910,15.200000000000
A,USD,STD,INDL,C,2111,2020-12-31,001932,110448107,12,2020,2288.0150,58705.8740,37.490000000000
A,USD,STD,INDL,C,2860,2020-12-31,001979,057665200,12,2020,32.3730,171.9850,115.220000000000
I,USD,STD,INDL,C,6331,2020-12-31,001982,74368L203,12,2020,14.2770,0.1200,13.710000000000
